Model	Solver	Time	nbVars	nbExpr	density
22433	HiGHS	1796029667	429	199	0.002331002331002331
22433	SCIP	771616917	429	199	0.002331002331002331
22433	SSC-LP		429	199	0.002331002331002331
22433	ojAlgo-MIP		429	199	0.002331002331002331
23588	HiGHS	3950323917	368	138	0.002717391304347826
23588	SCIP	2142045416	368	138	0.002717391304347826
23588	SSC-LP		368	138	0.002717391304347826
23588	ojAlgo-MIP	192920333	368	138	0.002717391304347826
aflow30a	HiGHS	6974455666	842	480	0.5
aflow30a	SCIP	7802327000	842	480	0.5
aflow30a	SSC-LP		842	480	0.5
aflow30a	ojAlgo-MIP		842	480	0.5
air01	HiGHS	59637333	771	24	1.0
air01	SCIP	38060917	771	24	1.0
air01	SSC-LP	328724500	771	24	1.0
air01	ojAlgo-MIP	4524166	771	24	1.0
beavma	HiGHS	217203000	390	373	0.882051282051282
beavma	SCIP	173689625	390	373	0.882051282051282
beavma	SSC-LP		390	373	0.882051282051282
beavma	ojAlgo-MIP		390	373	0.882051282051282
bell3a	HiGHS	156719667	133	124	0.706766917293233
bell3a	SCIP	229954125	133	124	0.706766917293233
bell3a	SSC-LP		133	124	0.706766917293233
bell3a	ojAlgo-MIP	280534333	133	124	0.706766917293233
bell3b	HiGHS	304322125	133	124	0.706766917293233
bell3b	SCIP	1290525458	133	124	0.706766917293233
bell3b	SSC-LP		133	124	0.706766917293233
bell3b	ojAlgo-MIP	188650916	133	124	0.706766917293233
bell4	HiGHS	417510167	117	106	0.7094017094017094
bell4	SCIP	588395250	117	106	0.7094017094017094
bell4	SSC-LP		117	106	0.7094017094017094
bell4	ojAlgo-MIP		117	106	0.7094017094017094
bell5	HiGHS	257641583	104	92	0.7115384615384616
bell5	SCIP	93854833	104	92	0.7115384615384616
bell5	SSC-LP	168692658917	104	92	0.7115384615384616
bell5	ojAlgo-MIP	3901139708	104	92	0.7115384615384616
bienst1	HiGHS	20511970625	505	577	0.0019801980198019802
bienst1	SCIP	49861764958	505	577	0.0019801980198019802
bienst1	SSC-LP		505	577	0.0019801980198019802
bienst1	ojAlgo-MIP	74098008000	505	577	0.0019801980198019802
blend2	HiGHS	525120667	353	275	0.24929178470254956
blend2	SCIP	511508916	353	275	0.24929178470254956
blend2	SSC-LP		353	275	0.24929178470254956
blend2	ojAlgo-MIP	654383208	353	275	0.24929178470254956
bm23	HiGHS	68962750	27	21	1.0
bm23	SCIP	101156209	27	21	1.0
bm23	SSC-LP	89125125	27	21	1.0
bm23	ojAlgo-MIP	2655084	27	21	1.0
bppc8-02	HiGHS	160569416	232	60	0.008620689655172414
bppc8-02	SCIP	299033875	232	60	0.008620689655172414
bppc8-02	SSC-LP		232	60	0.008620689655172414
bppc8-02	ojAlgo-MIP	581337083	232	60	0.008620689655172414
cracpb1	HiGHS	27150166	572	144	1.0
cracpb1	SCIP	74340167	572	144	1.0
cracpb1	SSC-LP		572	144	1.0
cracpb1	ojAlgo-MIP	78957041	572	144	1.0
dcmulti	HiGHS	567436750	548	291	0.9452554744525548
dcmulti	SCIP	583165500	548	291	0.9452554744525548
dcmulti	SSC-LP		548	291	0.9452554744525548
dcmulti	ojAlgo-MIP	647894167	548	291	0.9452554744525548
egout	HiGHS	8127333	141	99	0.7801418439716312
egout	SCIP	2870375	141	99	0.7801418439716312
egout	SSC-LP	2633655541	141	99	0.7801418439716312
egout	ojAlgo-MIP	209389834	141	99	0.7801418439716312
enigma	HiGHS	101716125	100	22	0.09
enigma	SCIP	110034625	100	22	0.09
enigma	SSC-LP	2142528833	100	22	0.09
enigma	ojAlgo-MIP	5521125	100	22	0.09
enlight8	HiGHS	347114875	128	65	0.5
enlight8	SCIP	2251583	128	65	0.5
enlight8	SSC-LP		128	65	0.5
enlight8	ojAlgo-MIP	341470084	128	65	0.5
enlight_hard	HiGHS	4460846333	200	101	0.5
enlight_hard	SCIP	2772708	200	101	0.5
enlight_hard	SSC-LP		200	101	0.5
enlight_hard	ojAlgo-MIP	14239261750	200	101	0.5
exp-1-500-5-5	HiGHS	2174787792	990	551	1.0
exp-1-500-5-5	SCIP	1207157708	990	551	1.0
exp-1-500-5-5	SSC-LP		990	551	1.0
exp-1-500-5-5	ojAlgo-MIP		990	551	1.0
f2gap40400	HiGHS	5866375	400	41	0.9925
f2gap40400	SCIP	23585875	400	41	0.9925
f2gap40400	SSC-LP	18451561917	400	41	0.9925
f2gap40400	ojAlgo-MIP	794422500	400	41	0.9925
fixnet3	HiGHS	49603833	878	479	0.9965831435079726
fixnet3	SCIP	15379625	878	479	0.9965831435079726
fixnet3	SSC-LP		878	479	0.9965831435079726
fixnet3	ojAlgo-MIP		878	479	0.9965831435079726
fixnet4	HiGHS	188927917	878	479	0.9851936218678815
fixnet4	SCIP	249891375	878	479	0.9851936218678815
fixnet4	SSC-LP		878	479	0.9851936218678815
fixnet4	ojAlgo-MIP		878	479	0.9851936218678815
fixnet6	HiGHS	1351147083	878	479	0.9043280182232346
fixnet6	SCIP	3792833167	878	479	0.9043280182232346
fixnet6	SSC-LP		878	479	0.9043280182232346
fixnet6	ojAlgo-MIP		878	479	0.9043280182232346
flugpl	HiGHS	39119625	18	19	1.0
flugpl	SCIP	16250833	18	19	1.0
flugpl	SSC-LP	18678875	18	19	1.0
flugpl	ojAlgo-MIP	7007000	18	19	1.0
gen	HiGHS	11033833	870	781	0.6689655172413793
gen	SCIP	10604292	870	781	0.6689655172413793
gen	SSC-LP		870	781	0.6689655172413793
gen	ojAlgo-MIP	2715660000	870	781	0.6689655172413793
gr4x6	HiGHS	6841083	48	35	1.0
gr4x6	SCIP	2524250	48	35	1.0
gr4x6	SSC-LP	5062417	48	35	1.0
gr4x6	ojAlgo-MIP	860750	48	35	1.0
graphdraw-gemcutter	HiGHS	81015438834	166	475	0.2289156626506024
graphdraw-gemcutter	SCIP	51236421375	166	475	0.2289156626506024
graphdraw-gemcutter	SSC-LP		166	475	0.2289156626506024
graphdraw-gemcutter	ojAlgo-MIP		166	475	0.2289156626506024
gsvm2rl3	HiGHS	5150575042	241	181	0.7468879668049793
gsvm2rl3	SCIP	3463035292	241	181	0.7468879668049793
gsvm2rl3	SSC-LP		241	181	0.7468879668049793
gsvm2rl3	ojAlgo-MIP		241	181	0.7468879668049793
gt2	HiGHS	26512917	188	30	0.48936170212765956
gt2	SCIP	15908750	188	30	0.48936170212765956
gt2	SSC-LP	5634380333	188	30	0.48936170212765956
gt2	ojAlgo-MIP	11718875	188	30	0.48936170212765956
ic97_tension	HiGHS	12105037916	703	320	0.2759601706970128
