Model	Solver	Time	nbVars	nbExpr	density
22433	HiGHS	1706357666	429	199	0.002331002331002331
22433	SCIP	719682667	429	199	0.002331002331002331
22433	SSC-LP		429	199	0.002331002331002331
22433	ojAlgo-MIP		429	199	0.002331002331002331
23588	HiGHS	3723324958	368	138	0.002717391304347826
23588	SCIP	2015340541	368	138	0.002717391304347826
23588	SSC-LP		368	138	0.002717391304347826
23588	ojAlgo-MIP	122326125	368	138	0.002717391304347826
aflow30a	HiGHS	6639782500	842	480	0.5
aflow30a	SCIP	7315482416	842	480	0.5
aflow30a	SSC-LP		842	480	0.5
aflow30a	ojAlgo-MIP		842	480	0.5
air01	HiGHS	58918584	771	24	1.0
air01	SCIP	37118583	771	24	1.0
air01	SSC-LP	246224791	771	24	1.0
air01	ojAlgo-MIP	3331417	771	24	1.0
beavma	HiGHS	181514834	390	373	0.882051282051282
beavma	SCIP	164765708	390	373	0.882051282051282
beavma	SSC-LP		390	373	0.882051282051282
beavma	ojAlgo-MIP		390	373	0.882051282051282
bell3a	HiGHS	154833500	133	124	0.706766917293233
bell3a	SCIP	216491750	133	124	0.706766917293233
bell3a	SSC-LP		133	124	0.706766917293233
bell3a	ojAlgo-MIP	193106125	133	124	0.706766917293233
bell3b	HiGHS	294186208	133	124	0.706766917293233
bell3b	SCIP	1219032417	133	124	0.706766917293233
bell3b	SSC-LP		133	124	0.706766917293233
bell3b	ojAlgo-MIP	142788750	133	124	0.706766917293233
bell4	HiGHS	399058833	117	106	0.7094017094017094
bell4	SCIP	565555250	117	106	0.7094017094017094
bell4	SSC-LP		117	106	0.7094017094017094
bell4	ojAlgo-MIP		117	106	0.7094017094017094
bell5	HiGHS	250781667	104	92	0.7115384615384616
bell5	SCIP	90344542	104	92	0.7115384615384616
bell5	SSC-LP	134588450458	104	92	0.7115384615384616
bell5	ojAlgo-MIP	1799046417	104	92	0.7115384615384616
bienst1	HiGHS	19142182209	505	577	0.0019801980198019802
bienst1	SCIP	46814429250	505	577	0.0019801980198019802
bienst1	SSC-LP		505	577	0.0019801980198019802
bienst1	ojAlgo-MIP	25581949416	505	577	0.0019801980198019802
blend2	HiGHS	506085834	353	275	0.24929178470254956
blend2	SCIP	484355166	353	275	0.24929178470254956
blend2	SSC-LP		353	275	0.24929178470254956
blend2	ojAlgo-MIP		353	275	0.24929178470254956
bm23	HiGHS	67003542	27	21	1.0
bm23	SCIP	95576667	27	21	1.0
bm23	SSC-LP	86060583	27	21	1.0
bm23	ojAlgo-MIP	2838834	27	21	1.0
bppc8-02	HiGHS	152867958	232	60	0.008620689655172414
bppc8-02	SCIP	280868750	232	60	0.008620689655172414
bppc8-02	SSC-LP		232	60	0.008620689655172414
bppc8-02	ojAlgo-MIP	245874708	232	60	0.008620689655172414
cracpb1	HiGHS	25823583	572	144	1.0
cracpb1	SCIP	70053958	572	144	1.0
cracpb1	SSC-LP		572	144	1.0
cracpb1	ojAlgo-MIP	75946958	572	144	1.0
dcmulti	HiGHS	543261334	548	291	0.9452554744525548
dcmulti	SCIP	548888791	548	291	0.9452554744525548
dcmulti	SSC-LP		548	291	0.9452554744525548
dcmulti	ojAlgo-MIP	448246834	548	291	0.9452554744525548
egout	HiGHS	7991292	141	99	0.7801418439716312
egout	SCIP	2661125	141	99	0.7801418439716312
egout	SSC-LP	2220119792	141	99	0.7801418439716312
egout	ojAlgo-MIP	284168250	141	99	0.7801418439716312
enigma	HiGHS	98617292	100	22	0.09
enigma	SCIP	103953958	100	22	0.09
enigma	SSC-LP	1999126167	100	22	0.09
enigma	ojAlgo-MIP	6574458	100	22	0.09
enlight8	HiGHS	326443209	128	65	0.5
enlight8	SCIP	2850584	128	65	0.5
enlight8	SSC-LP		128	65	0.5
enlight8	ojAlgo-MIP	315663167	128	65	0.5
enlight_hard	HiGHS	4191690791	200	101	0.5
enlight_hard	SCIP	2349458	200	101	0.5
enlight_hard	SSC-LP		200	101	0.5
enlight_hard	ojAlgo-MIP	10237046917	200	101	0.5
exp-1-500-5-5	HiGHS	2063701792	990	551	1.0
exp-1-500-5-5	SCIP	1145633500	990	551	1.0
exp-1-500-5-5	SSC-LP		990	551	1.0
exp-1-500-5-5	ojAlgo-MIP		990	551	1.0
f2gap40400	HiGHS	5546125	400	41	0.9925
f2gap40400	SCIP	22096334	400	41	0.9925
f2gap40400	SSC-LP	11766157416	400	41	0.9925
f2gap40400	ojAlgo-MIP	434164917	400	41	0.9925
