Model	Solver	Time	nbVars	nbExpr	density
22433	CPLEX	58103542	429	199	0.002331002331002331
22433	HiGHS	1815070250	429	199	0.002331002331002331
22433	SCIP	776886958	429	199	0.002331002331002331
22433	ojAlgo-MIP	124821708	429	199	0.002331002331002331
23588	CPLEX	113902083	368	138	0.002717391304347826
23588	HiGHS	3962778791	368	138	0.002717391304347826
23588	SCIP	2439748542	368	138	0.002717391304347826
23588	ojAlgo-MIP	335980833	368	138	0.002717391304347826
aflow30a	CPLEX	1189149792	842	480	0.5
aflow30a	HiGHS	7818840292	842	480	0.5
aflow30a	SCIP	10737973167	842	480	0.5
aflow30a	ojAlgo-MIP		842	480	0.5
air01	CPLEX	17091875	771	24	1.0
air01	HiGHS	61124458	771	24	1.0
air01	SCIP	41436208	771	24	1.0
air01	ojAlgo-MIP	5704750	771	24	1.0
beavma	CPLEX	19473375	390	373	0.882051282051282
beavma	HiGHS	216372208	390	373	0.882051282051282
beavma	SCIP	234004500	390	373	0.882051282051282
beavma	ojAlgo-MIP		390	373	0.882051282051282
bell3a	CPLEX	26112917	133	124	0.706766917293233
bell3a	HiGHS	158970625	133	124	0.706766917293233
bell3a	SCIP	628553333	133	124	0.706766917293233
bell3a	ojAlgo-MIP	803597875	133	124	0.706766917293233
bell3b	CPLEX	30439209	133	124	0.706766917293233
bell3b	HiGHS	307132417	133	124	0.706766917293233
bell3b	SCIP	1609290625	133	124	0.706766917293233
bell3b	ojAlgo-MIP	337099334	133	124	0.706766917293233
bell4	CPLEX	26833375	117	106	0.7094017094017094
bell4	HiGHS	455198584	117	106	0.7094017094017094
bell4	SCIP	394641084	117	106	0.7094017094017094
bell4	ojAlgo-MIP		117	106	0.7094017094017094
bell5	CPLEX	8848958	104	92	0.7115384615384616
bell5	HiGHS	297559042	104	92	0.7115384615384616
bell5	SCIP	73200792	104	92	0.7115384615384616
bell5	ojAlgo-MIP	27304946833	104	92	0.7115384615384616
bienst1	CPLEX	4813286834	505	577	0.0019801980198019802
bienst1	HiGHS	20655301750	505	577	0.0019801980198019802
bienst1	SCIP	50881279042	505	577	0.0019801980198019802
bienst1	ojAlgo-MIP		505	577	0.0019801980198019802
blend2	CPLEX	79707334	353	275	0.24929178470254956
blend2	HiGHS	601211416	353	275	0.24929178470254956
blend2	SCIP	496525667	353	275	0.24929178470254956
blend2	ojAlgo-MIP	1098540417	353	275	0.24929178470254956
bm23	CPLEX	10854542	27	21	1.0
bm23	HiGHS	70038417	27	21	1.0
bm23	SCIP	116292000	27	21	1.0
bm23	ojAlgo-MIP	3299167	27	21	1.0
bppc8-02	CPLEX	40039375	232	60	0.008620689655172414
bppc8-02	HiGHS	161536542	232	60	0.008620689655172414
bppc8-02	SCIP	115866959	232	60	0.008620689655172414
bppc8-02	ojAlgo-MIP	1051678167	232	60	0.008620689655172414
cracpb1	CPLEX	15964917	572	144	1.0
cracpb1	HiGHS	30817458	572	144	1.0
cracpb1	SCIP	85256833	572	144	1.0
cracpb1	ojAlgo-MIP	39289417	572	144	1.0
dcmulti	CPLEX	56870958	548	291	0.9452554744525548
dcmulti	HiGHS	615884083	548	291	0.9452554744525548
dcmulti	SCIP	1408136666	548	291	0.9452554744525548
dcmulti	ojAlgo-MIP	1127557791	548	291	0.9452554744525548
egout	CPLEX	2108125	141	99	0.7801418439716312
egout	HiGHS	8223000	141	99	0.7801418439716312
egout	SCIP	3034667	141	99	0.7801418439716312
egout	ojAlgo-MIP	402272583	141	99	0.7801418439716312
enigma	CPLEX	20668041	100	22	0.09
enigma	HiGHS	103392459	100	22	0.09
enigma	SCIP	142913667	100	22	0.09
enigma	ojAlgo-MIP		100	22	0.09
enlight8	CPLEX	1650833	128	65	0.5
enlight8	HiGHS	346523583	128	65	0.5
enlight8	SCIP	2613125	128	65	0.5
enlight8	ojAlgo-MIP	604387542	128	65	0.5
enlight_hard	CPLEX	2202292	200	101	0.5
enlight_hard	HiGHS	4502107667	200	101	0.5
enlight_hard	SCIP	2444208	200	101	0.5
enlight_hard	ojAlgo-MIP		200	101	0.5
exp-1-500-5-5	CPLEX	548937083	990	551	1.0
exp-1-500-5-5	HiGHS	2446185209	990	551	1.0
exp-1-500-5-5	SCIP	1231727291	990	551	1.0
exp-1-500-5-5	ojAlgo-MIP		990	551	1.0
f2gap40400	CPLEX	6723708	400	41	0.9925
f2gap40400	HiGHS	6662917	400	41	0.9925
f2gap40400	SCIP	23473833	400	41	0.9925
f2gap40400	ojAlgo-MIP	247448333	400	41	0.9925
fixnet3	CPLEX	34568416	878	479	0.9965831435079726
fixnet3	HiGHS	53064292	878	479	0.9965831435079726
fixnet3	SCIP	18490542	878	479	0.9965831435079726
fixnet3	ojAlgo-MIP		878	479	0.9965831435079726
fixnet4	CPLEX	44941834	878	479	0.9851936218678815
fixnet4	HiGHS	206628542	878	479	0.9851936218678815
fixnet4	SCIP	294698208	878	479	0.9851936218678815
fixnet4	ojAlgo-MIP		878	479	0.9851936218678815
fixnet6	CPLEX	41127084	878	479	0.9043280182232346
fixnet6	HiGHS	1441127458	878	479	0.9043280182232346
fixnet6	SCIP	3361212542	878	479	0.9043280182232346
fixnet6	ojAlgo-MIP		878	479	0.9043280182232346
flugpl	CPLEX	1462208	18	19	1.0
flugpl	HiGHS	39716417	18	19	1.0
flugpl	SCIP	17197625	18	19	1.0
flugpl	ojAlgo-MIP	11227166	18	19	1.0
gen	CPLEX	9942917	870	781	0.6689655172413793
gen	HiGHS	11798000	870	781	0.6689655172413793
gen	SCIP	12143167	870	781	0.6689655172413793
gen	ojAlgo-MIP	4229704375	870	781	0.6689655172413793
gr4x6	CPLEX	2557541	48	35	1.0
gr4x6	HiGHS	7250292	48	35	1.0
gr4x6	SCIP	2634292	48	35	1.0
gr4x6	ojAlgo-MIP	1262209	48	35	1.0
graphdraw-gemcutter	CPLEX	5679290250	166	475	0.2289156626506024
graphdraw-gemcutter	HiGHS	84152259458	166	475	0.2289156626506024
graphdraw-gemcutter	SCIP	53356523708	166	475	0.2289156626506024
graphdraw-gemcutter	ojAlgo-MIP		166	475	0.2289156626506024
gsvm2rl3	CPLEX	464340250	241	181	0.7468879668049793
gsvm2rl3	HiGHS	5853808458	241	181	0.7468879668049793
gsvm2rl3	SCIP	3522927250	241	181	0.7468879668049793
gsvm2rl3	ojAlgo-MIP		241	181	0.7468879668049793
gt2	CPLEX	3916125	188	30	0.48936170212765956
gt2	HiGHS	27187625	188	30	0.48936170212765956
gt2	SCIP	12755084	188	30	0.48936170212765956
gt2	ojAlgo-MIP	12231459	188	30	0.48936170212765956
ic97_tension	CPLEX	431011667	703	320	0.2759601706970128
ic97_tension	HiGHS	12217667000	703	320	0.2759601706970128
